day	hour	value
1	0	153001
1	1	78711
1	2	47700
1	3	37816
1	4	40040
1	5	82230
1	6	265598
1	7	764634
1	8	1652216
1	9	1118049
1	10	1014181
1	11	1195898
1	12	1915104
1	13	2010826
1	14	1609221
1	15	1600135
1	16	1817029
1	17	2387733
1	18	1622907
1	19	1018252
1	20	780315
1	21	626990
1	22	429381
1	23	238101
2	0	105253
2	1	50055
2	2	29182
2	3	23347
2	4	27916
2	5	81623
2	6	310116
2	7	869144
2	8	1826287
2	9	1171475
2	10	995741
2	11	1177517
2	12	1919243
2	13	2003555
2	14	1564855
2	15	1516352
2	16	1833045
2	17	2470348
2	18	1726868
2	19	1092076
2	20	821115
2	21	675297
2	22	491289
2	23	277912
3	0	117727
3	1	54041
3	2	30490
3	3	24546
3	4	28460
3	5	80780
3	6	313382
3	7	874111
3	8	1814455
3	9	1190602
3	10	1025657
3	11	1234542
3	12	1986053
3	13	2059271
3	14	1613723
3	15	1631550
3	16	1903032
3	17	2542486
3	18	1807132
3	19	1208424
3	20	891868
3	21	744803
3	22	577512
3	23	326505
4	0	177651
4	1	93164
4	2	57133
4	3	40332
4	4	36264
4	5	85099
4	6	316366
4	7	874185
4	8	1813706
4	9	1225823
4	10	1053897
4	11	1236838
4	12	1989529
4	13	2095664
4	14	1658423
4	15	1657184
4	16	1912640
4	17	2551804
4	18	1862410
4	19	1278162
4	20	994205
4	21	859945
4	22	688162
4	23	443293
5	0	198972
5	1	102874
5	2	69577
5	3	55369
5	4	48965
5	5	87490
5	6	292257
5	7	792089
5	8	1685987
5	9	1179077
5	10	1074322
5	11	1286759
5	12	2055082
5	13	2157270
5	14	1748616
5	15	1766396
5	16	2052145
5	17	2607080
5	18	2076113
5	19	1628897
5	20	1279111
5	21	1141646
5	22	1036703
5	23	749627
6	0	455805
6	1	252253
6	2	152304
6	3	116251
6	4	78797
6	5	78579
6	6	107183
6	7	215631
6	8	370864
6	9	619452
6	10	940511
6	11	1279583
6	12	1589420
6	13	1765905
6	14	1760892
6	15	1794843
6	16	1776827
6	17	1698716
6	18	1566111
6	19	1381633
6	20	1137363
6	21	1048874
6	22	1059435
6	23	810319
7	0	542611
7	1	346745
7	2	224896
7	3	172782
7	4	116231
7	5	83333
7	6	87279
7	7	161782
7	8	314915
7	9	552315
7	10	903546
7	11	1251089
7	12	1534072
7	13	1707269
7	14	1751338
7	15	1723700
7	16	1596500
7	17	1366520
7	18	1163844
7	19	962728
7	20	766265
7	21	650325
7	22	490416
7	23	318472
